Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","001","World","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","177252443","E","Estimated value"
"QV","Value of Agricultural Production","014","Eastern Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","1212341","E","Estimated value"
"QV","Value of Agricultural Production","017","Middle Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","3910","E","Estimated value"
"QV","Value of Agricultural Production","015","Northern Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","3826320","E","Estimated value"
"QV","Value of Agricultural Production","018","Southern Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","455945","E","Estimated value"
"QV","Value of Agricultural Production","011","Western Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","27494","E","Estimated value"
"QV","Value of Agricultural Production","019","Americas","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","28797097","E","Estimated value"
"QV","Value of Agricultural Production","021","Northern America","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","22492148","E","Estimated value"
"QV","Value of Agricultural Production","013","Central America","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","915323","E","Estimated value"
"QV","Value of Agricultural Production","005","South America","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","5389626","E","Estimated value"
"QV","Value of Agricultural Production","142","Asia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","77826778","E","Estimated value"
"QV","Value of Agricultural Production","143","Central Asia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","5944179","E","Estimated value"
"QV","Value of Agricultural Production","030","Eastern Asia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","31879832","E","Estimated value"
"QV","Value of Agricultural Production","034","Southern Asia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","33193651","E","Estimated value"
"QV","Value of Agricultural Production","035","South-eastern Asia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","24616","E","Estimated value"
"QV","Value of Agricultural Production","145","Western Asia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","6784500","E","Estimated value"
"QV","Value of Agricultural Production","150","Europe","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","59718478","E","Estimated value"
"QV","Value of Agricultural Production","151","Eastern Europe","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","33509435","E","Estimated value"
"QV","Value of Agricultural Production","154","Northern Europe","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","7001269","E","Estimated value"
"QV","Value of Agricultural Production","039","Southern Europe","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","5323846","E","Estimated value"
"QV","Value of Agricultural Production","155","Western Europe","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","13883927","E","Estimated value"
"QV","Value of Agricultural Production","009","Oceania","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","5384079","E","Estimated value"
"QV","Value of Agricultural Production","053","Australia and New Zealand","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","5384078","E","Estimated value"
"QV","Value of Agricultural Production","054","Melanesia","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","2","E","Estimated value"
"QV","Value of Agricultural Production","097","European Union (27)","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","30843030","E","Estimated value"
"QV","Value of Agricultural Production","199","Least Developed Countries","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","3148906","E","Estimated value"
"QV","Value of Agricultural Production","432","Land Locked Developing Countries","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","9927727","E","Estimated value"
"QV","Value of Agricultural Production","722","Small Island Developing States","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","2","E","Estimated value"
"QV","Value of Agricultural Production","901","Low Income Food Deficit Countries","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","27414326","E","Estimated value"
"QV","Value of Agricultural Production","902","Net Food Importing Developing Countries","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","12515363","E","Estimated value"
