"measuredItemCPC","measuredItemCPC_description","geographicAreaM49","geographicAreaM49_description","timePointYears","timePointYears_description","Value"
"0111","Wheat","380","Italy","2015","2015",1751243.70798731
"0111","Wheat","4","Afghanistan","2015","2015",1106719.51190352
"0111","Wheat","380","Italy","2016","2016",1903615.15770954
"0111","Wheat","4","Afghanistan","2016","2016",1078790.06297118
"0111","Wheat","380","Italy","2017","2017",1649873.04720117
"0111","Wheat","4","Afghanistan","2017","2017",1013819.33929269
"0111","Wheat","380","Italy","2018","2018",1682599.5027317
"0111","Wheat","4","Afghanistan","2018","2018",855740.5056154
"0111","Wheat","380","Italy","2019","2019",1596113.65382886
"0111","Wheat","4","Afghanistan","2019","2019",1158102.30882
"0111","Wheat","380","Italy","2020","2020",1590597.86594084
"0111","Wheat","4","Afghanistan","2020","2020",1227967.37653
"0112","Maize (corn)","380","Italy","2015","2015",1419956.59863019
"0112","Maize (corn)","4","Afghanistan","2015","2015",63431.281032
"0112","Maize (corn)","380","Italy","2016","2016",1372905.6429971
"0112","Maize (corn)","4","Afghanistan","2016","2016",62557.294330692
"0112","Maize (corn)","380","Italy","2017","2017",1214126.7085151
"0112","Maize (corn)","4","Afghanistan","2017","2017",34909.686540624
"0112","Maize (corn)","380","Italy","2018","2018",1244367.1702833
"0112","Maize (corn)","4","Afghanistan","2018","2018",21412.07198634
"0112","Maize (corn)","380","Italy","2019","2019",1260419.70048624
"0112","Maize (corn)","4","Afghanistan","2019","2019",37069.361074242
"0112","Maize (corn)","380","Italy","2020","2020",1363597.90543326
"0112","Maize (corn)","4","Afghanistan","2020","2020",54554.113397952
"0113","Rice","380","Italy","2015","2015",593733.124235805
"0113","Rice","4","Afghanistan","2015","2015",160338.51345
"0113","Rice","380","Italy","2016","2016",620762.67797757
"0113","Rice","4","Afghanistan","2016","2016",139441.712312925
"0113","Rice","380","Italy","2017","2017",624939.691787715
"0113","Rice","4","Afghanistan","2017","2017",132345.7554189
"0113","Rice","380","Italy","2018","2018",574907.42740905
"0113","Rice","4","Afghanistan","2018","2018",137725.699149465
"0113","Rice","380","Italy","2019","2019",583718.2242579
"0113","Rice","4","Afghanistan","2019","2019",149584.1009625
"0113","Rice","380","Italy","2020","2020",589533.42839205
"0113","Rice","4","Afghanistan","2020","2020",171894.227435205
"0114","Sorghum","380","Italy","2015","2015",63913.30272198
"0114","Sorghum","380","Italy","2016","2016",68164.51554468
"0114","Sorghum","380","Italy","2017","2017",52286.22479034
"0114","Sorghum","380","Italy","2018","2018",65975.2604181
"0114","Sorghum","380","Italy","2019","2019",70133.0638635
"0114","Sorghum","380","Italy","2020","2020",81203.1612291
"0115","Barley","380","Italy","2015","2015",186084.400917681
"0115","Barley","4","Afghanistan","2015","2015",78514.898553
"0115","Barley","380","Italy","2016","2016",192543.663812535
"0115","Barley","4","Afghanistan","2016","2016",58809.412450656
"0115","Barley","380","Italy","2017","2017",191763.580304331
"0115","Barley","4","Afghanistan","2017","2017",18507.500714745
"0115","Barley","380","Italy","2018","2018",202811.97083049
"0115","Barley","4","Afghanistan","2018","2018",11062.418001831
"0115","Barley","380","Italy","2019","2019",215280.83809449
"0115","Barley","4","Afghanistan","2019","2019",24075.824078376
"0115","Barley","380","Italy","2020","2020",218931.87829023
"0115","Barley","4","Afghanistan","2020","2020",24890.391797607
"0116","Rye","380","Italy","2015","2015",3560.11542233
"0116","Rye","380","Italy","2016","2016",3556.6047267
"0116","Rye","380","Italy","2017","2017",2996.78380047
"0116","Rye","380","Italy","2018","2018",2959.7864696
"0116","Rye","380","Italy","2019","2019",3478.2892088
"0116","Rye","380","Italy","2020","2020",3192.0324882
"0117","Oats","380","Italy","2015","2015",43803.535973652
"0117","Oats","380","Italy","2016","2016",43708.342228356
"0117","Oats","380","Italy","2017","2017",38386.039817502
"0117","Oats","380","Italy","2018","2018",41848.3771134
"0117","Oats","380","Italy","2019","2019",40945.04210082
"0117","Oats","380","Italy","2020","2020",41736.08871666
"0118","Millet","4","Afghanistan","2015","2015",1875.002563368
"0118","Millet","4","Afghanistan","2016","2016",2256.125043438
"0118","Millet","4","Afghanistan","2017","2017",1879.203913542
"0118","Millet","4","Afghanistan","2018","2018",1579.407568983
"0118","Millet","4","Afghanistan","2019","2019",814.461740874
"0118","Millet","4","Afghanistan","2020","2020",568.682755695
"01191","Triticale","380","Italy","2015","2015",11188.665986372
"01191","Triticale","380","Italy","2016","2016",16782.901955104
"01191","Triticale","380","Italy","2017","2017",15068.673901832
"01191","Triticale","380","Italy","2018","2018",11984.46055808
"01191","Triticale","380","Italy","2019","2019",11856.3882788
"01191","Triticale","380","Italy","2020","2020",11722.49453228
"01199.02","Mixed grain","380","Italy","2015","2015",NA
"01199.02","Mixed grain","380","Italy","2016","2016",NA
"01199.02","Mixed grain","380","Italy","2017","2017",NA
"01199.02","Mixed grain","380","Italy","2018","2018",0
"01199.02","Mixed grain","380","Italy","2019","2019",0
"01199.02","Mixed grain","380","Italy","2020","2020",0
"01199.90","Other cereals n.e.","380","Italy","2015","2015",36853.718111496
"01199.90","Other cereals n.e.","380","Italy","2016","2016",26753.5456227
"01199.90","Other cereals n.e.","380","Italy","2017","2017",27912.69625392
"01199.90","Other cereals n.e.","380","Italy","2018","2018",31222.89303768
"01199.90","Other cereals n.e.","380","Italy","2019","2019",30865.11254172
"01199.90","Other cereals n.e.","380","Italy","2020","2020",31950.08916768
"01211","Asparagus","380","Italy","2015","2015",44843.911696485
"01211","Asparagus","380","Italy","2016","2016",44501.894801013
"01211","Asparagus","380","Italy","2017","2017",47250.244853913
"01211","Asparagus","380","Italy","2018","2018",49877.463923
"01211","Asparagus","380","Italy","2019","2019",50803.75968157
"01211","Asparagus","380","Italy","2020","2020",47882.36536608
"01212","Cabbages","380","Italy","2015","2015",66170.084405823
"01212","Cabbages","380","Italy","2016","2016",61739.99567341
"01212","Cabbages","380","Italy","2017","2017",65951.640459903
"01212","Cabbages","380","Italy","2018","2018",100957.51033936
"01212","Cabbages","380","Italy","2019","2019",104172.73216837
"01212","Cabbages","380","Italy","2020","2020",95712.58017951
"01213","Cauliflowers and broccoli","380","Italy","2015","2015",181132.635455928
"01213","Cauliflowers and broccoli","380","Italy","2016","2016",182216.225082294
"01213","Cauliflowers and broccoli","380","Italy","2017","2017",174372.988432032
"01213","Cauliflowers and broccoli","380","Italy","2018","2018",172754.87798088
"01213","Cauliflowers and broccoli","380","Italy","2019","2019",172768.9566681
"01213","Cauliflowers and broccoli","380","Italy","2020","2020",171459.63875664
"01214","Lettuce and chicory","380","Italy","2015","2015",248178.42514875
"01214","Lettuce and chicory","380","Italy","2016","2016",291530.47527465
"01214","Lettuce and chicory","380","Italy","2017","2017",291493.24009335
"01214","Lettuce and chicory","380","Italy","2018","2018",304243.120737
"01214","Lettuce and chicory","380","Italy","2019","2019",300646.360671
"01214","Lettuce and chicory","380","Italy","2020","2020",291333.6041565
"01215","Spinach","380","Italy","2015","2015",37335.445562565
"01215","Spinach","380","Italy","2016","2016",37132.168741458
"01215","Spinach","380","Italy","2017","2017",37170.560984013
"01215","Spinach","380","Italy","2018","2018",41435.33293857
"01215","Spinach","380","Italy","2019","2019",40218.90504288
"01215","Spinach","380","Italy","2020","2020",40360.35014703
"01216","Artichokes","380","Italy","2015","2015",278208.472547335
"01216","Artichokes","380","Italy","2016","2016",253707.743097591
"01216","Artichokes","380","Italy","2017","2017",268827.987290603
"01216","Artichokes","380","Italy","2018","2018",270219.25494581
"01216","Artichokes","380","Italy","2019","2019",262600.90341082
"01216","Artichokes","380","Italy","2020","2020",254462.64617508
"01221","Watermelons","380","Italy","2015","2015",114737.00190173
"01221","Watermelons","4","Afghanistan","2015","2015",76142.69969066
"01221","Watermelons","380","Italy","2016","2016",123894.00455081
"01221","Watermelons","4","Afghanistan","2016","2016",200072.43390621
"01221","Watermelons","380","Italy","2017","2017",132422.95393722
"01221","Watermelons","4","Afghanistan","2017","2017",190707.08554975
"01221","Watermelons","380","Italy","2018","2018",134928.2066636
"01221","Watermelons","4","Afghanistan","2018","2018",79926.33198014
"01221","Watermelons","380","Italy","2019","2019",150904.4710402
"01221","Watermelons","4","Afghanistan","2019","2019",196510.8359619
"01221","Watermelons","380","Italy","2020","2020",151238.5666066
"01221","Watermelons","4","Afghanistan","2020","2020",229764.48133758
"01229","Cantaloupes and other melons","380","Italy","2015","2015",223455.198393596
"01229","Cantaloupes and other melons","4","Afghanistan","2015","2015",113328.287583732
"01229","Cantaloupes and other melons","380","Italy","2016","2016",237232.036142712
"01229","Cantaloupes and other melons","4","Afghanistan","2016","2016",189938.850790936
"01229","Cantaloupes and other melons","380","Italy","2017","2017",227260.608521024
"01229","Cantaloupes and other melons","4","Afghanistan","2017","2017",209902.340714092
"01229","Cantaloupes and other melons","380","Italy","2018","2018",228095.75028812
"01229","Cantaloupes and other melons","4","Afghanistan","2018","2018",140142.491193848
"01229","Cantaloupes and other melons","380","Italy","2019","2019",221965.37451348
"01229","Cantaloupes and other melons","4","Afghanistan","2019","2019",174167.95262308
"01229","Cantaloupes and other melons","380","Italy","2020","2020",222633.18778636
"01229","Cantaloupes and other melons","4","Afghanistan","2020","2020",297700.652122016
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","380","Italy","2015","2015",189857.198599104
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","380","Italy","2016","2016",182045.360355744
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","380","Italy","2017","2017",167828.351648928
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","380","Italy","2018","2018",174994.572333
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","380","Italy","2019","2019",167538.42775536
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","380","Italy","2020","2020",166182.76510488
"01232","Cucumbers and gherkins","380","Italy","2015","2015",21798.089273025
"01232","Cucumbers and gherkins","380","Italy","2016","2016",22410.897480855
