"measuredItemCPC","measuredItemCPC_description","measuredElement","measuredElement_description","timePointYears","timePointYears_description","geographicAreaM49","geographicAreaM49_description","Value","flagObservationStatus","flagMethod"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",32816673.2920468,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",4110337.16998682,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",26821578.5939748,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","380","Italy",32667702.0529106,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",4534761.28024141,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",1410879.20750189,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",3470124.49822583,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2015","2015","4","Afghanistan",4427390.2661959,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",32325144.0195555,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",4248793.05257428,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",26425517.7828531,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","380","Italy",32182115.4269554,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",4852339.31862582,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",1341854.60710889,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",3791511.54556882,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2016","2016","4","Afghanistan",4738901.70096539,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",31352164.198529,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",3817353.44637238,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",25226967.4532827,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","380","Italy",31189419.9600805,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",4683951.98026,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",1201461.4858805,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",3650857.30523501,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2017","2017","4","Afghanistan",4582394.97115791,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",31543049.8114468,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",3858676.8488514,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",24927126.4005527,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","380","Italy",31396953.2190704,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",4495392.98059901,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",1027520.10232202,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",3440917.04914051,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2018","2018","4","Afghanistan",4371887.53104377,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",31206111.5517569,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",3812810.31266113,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",24541443.5947782,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","380","Italy",31074122.9708916,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",5446645.43471151,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",1369646.05667599,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",4416288.47147615,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2019","2019","4","Afghanistan",5298795.02773029,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",32137176.7174508,"I","e"
"F1717","Cereals,Total","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",3932464.9441903,"I","e"
"F2041","Crops (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",25417787.0410128,"I","e"
"F2054","Food (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","380","Italy",32017957.8870407,"I","e"
"F2051","Agriculture (PIN)","5533","Producer Price (Int $/tonne) [Int.$]","2020","2020","4","Afghanistan",5738570.48815392,"I","e"
