Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","2018","2018","index","97.78","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F1717","Cereals, Total","2018","2018","index","70.05","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F2041","Crops","2018","2018","index","94.87","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2018","2018","index","97.45","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F2044","Livestock","2018","2018","index","102.32","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F1770","Meat indigenous, total","2018","2018","index","107.73","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F1780","Milk, Total","2018","2018","index","95.81","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F2057","Non Food","2018","2018","index","116.98","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F1720","Roots and Tubers, Total","2018","2018","index","168.58","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F1723","Sugar Crops Primary","2018","2018","index","59.27","E","Estimated value"
"QI","Production Indices","004","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2018","2018","index","109.81","E","Estimated value"
